	SRR21726537_dairy1	SRR21726538_dairy2	SRR21726539_dairy3	SRR21726540_dairy4	SRR21726541_dairy5	SRR21726542_dairy6	SRR21726543_dairy7	SRR21726544_dairy8	SRR21726545_meat1	SRR21726546_meat2	SRR21726547_meat3	SRR21726548_meat4	SRR21726549_meat5	SRR21726550_meat6	SRR21726551_meat7	SRR21726552_meat8
ASV_78	0	0	999	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_79	998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	0	0	996	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_81	0	0	982	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_82	0	0	956	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_83	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_84	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_85	0	0	941	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_86	921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_87	0	0	918	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_88	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_89	0	0	905	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_90	0	0	903	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_91	0	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_92	0	0	889	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_93	0	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_94	0	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_95	864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_96	0	0	851	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_97	849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_98	0	0	847	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_99	0	0	847	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_100	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_101	0	0	838	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_103	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	0	0	824	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105	0	0	813	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	0	0	811	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_108	0	0	803	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_109	797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_110	0	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_111	788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_112	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_113	0	0	783	0	0	0	0	0	0	0	0	0	0	0	0	0
